rs_kind,config,seed,RMSE,skill_vs_M0,DirAcc,CW_p_vs_M0
meanpool,m4_deep_gated,42,4.204943374355334,-0.0128038199702129,0.5019455252918288,0.8944291166651891
meanpool,m4_deep_gated,0,4.180625647237153,-0.0069466455149056,0.4941634241245136,0.7726228624491354
meanpool,m4_deep_gated,1,4.200958801663879,-0.0118440946936571,0.4941634241245136,0.7172624177822702
meanpool,m4_deep_gated,2,4.160249240342741,-0.0020387785348676,0.4591439688715953,0.1112555644045591
meanpool,m4_deep_gated,3,4.238100758015884,-0.0207901165363992,0.4747081712062256,0.9327042701558196
meanpool_anom,m4_deep_gated,42,4.149679581079882,0.0005070325080333,0.5330739299610895,0.0417887231236079
meanpool_anom,m4_deep_gated,0,4.192835220599679,-0.0098874467197895,0.424124513618677,0.9282712039454568
meanpool_anom,m4_deep_gated,1,4.186231663917111,-0.0082969122373792,0.4824902723735408,0.7082346728790455
meanpool_anom,m4_deep_gated,2,4.15733041031174,-0.0013357483292124,0.4980544747081712,0.1496862377078668
meanpool_anom,m4_deep_gated,3,4.185881220091677,-0.0082125042410079,0.5058365758754864,0.8297973833343943
